EN,ASCII,Description,Compositional_strategy,Attribute,Label
trailing off,... . . .,ASCII '... . . .' represents 'trailing off',Semantic List,STATE,1
long pause,~~~~~~,ASCII '~~~~~~' does NOT represent 'long pause',Reduplication,OBJECT,0
circle shape,===,ASCII '===' does NOT represent 'circle shape',Direct,OBJECT,0
laughing hard,:-O,ASCII ':-O' does NOT represent 'laughing hard',Direct,EMOTION,0
many ats,@@@@@@,ASCII '@@@@@@' represents 'many ats',Reduplication,OBJECT,1
flower girl,(◕‿◕✿),ASCII '(◕‿◕✿)' represents 'flower girl',Metaphorical,QUALITY,1
ready to fight,ლ(╹◡╹ლ),ASCII 'ლ(╹◡╹ლ)' does NOT represent 'ready to fight',Metaphorical,ACTION,0
tears of joy,ಥ_ಥ,ASCII 'ಥ_ಥ' represents 'tears of joy',Metaphorical,EMOTION,1
hash pattern,***,ASCII '***' does NOT represent 'hash pattern',Direct,OBJECT,0
annoyed expression,-_-,ASCII '-_-' represents 'annoyed expression',Direct,EMOTION,1
wave pattern,|| | ||,ASCII '|| | ||' does NOT represent 'wave pattern',Semantic List,OBJECT,0
weird fighter,(ง ͠° ͟ل͜ ͡°)ง,ASCII '(ง ͠° ͟ل͜ ͡°)ง' represents 'weird fighter',Metaphorical,STATE,1
concerned look,(ง ͠° ͟ل͜ ͡°)ง,ASCII '(ง ͠° ͟ل͜ ͡°)ง' does NOT represent 'concerned look',Metaphorical,STATE,0
continuous laughing,lolololol,ASCII 'lolololol' represents 'continuous laughing',Reduplication,EMOTION,1
cloud symbol,♦,ASCII '♦' does NOT represent 'cloud symbol',Single,OBJECT,0
crying pattern,TT T TT,ASCII 'TT T TT' represents 'crying pattern',Semantic List,EMOTION,1
many percents,%%%%%%,ASCII '%%%%%%' represents 'many percents',Reduplication,OBJECT,1
finger guns,( ˘ ³˘)♥,ASCII '( ˘ ³˘)♥' does NOT represent 'finger guns',Metaphorical,ACTION,0
creepy reach,(｡♥‿♥｡),ASCII '(｡♥‿♥｡)' does NOT represent 'creepy reach',Metaphorical,EMOTION,0
plus signs,;),ASCII ';)' does NOT represent 'plus signs',Direct,EMOTION,0
flower girl,(◕‿◕✿),ASCII '(◕‿◕✿)' represents 'flower girl',Metaphorical,QUALITY,1
bar pattern,|| | ||,ASCII '|| | ||' represents 'bar pattern',Semantic List,OBJECT,1
wavy line,~~~~~~,ASCII '~~~~~~' represents 'wavy line',Reduplication,OBJECT,1
happy face,:),ASCII ':)' represents 'happy face',Direct,EMOTION,1
arrow progression,-> --> --->,ASCII '-> --> --->' represents 'arrow progression',Semantic List,ACTION,1
happy walking,(☞ﾟヮﾟ)☞,ASCII '(☞ﾟヮﾟ)☞' does NOT represent 'happy walking',Metaphorical,ACTION,0
wide eyed,(ง •̀_•́)ง,ASCII '(ง •̀_•́)ง' does NOT represent 'wide eyed',Metaphorical,STATE,0
many pluses,++++++,ASCII '++++++' represents 'many pluses',Reduplication,OBJECT,1
parentheses,v,ASCII 'v' does NOT represent 'parentheses',Direct,OBJECT,0
diamond shape,[],ASCII '[]' does NOT represent 'diamond shape',Direct,OBJECT,0
star pattern,[ ] { } ( ),ASCII '[ ] { } ( )' does NOT represent 'star pattern',Semantic List,OBJECT,0
circle pattern,ooo o o,ASCII 'ooo o o' represents 'circle pattern',Semantic List,OBJECT,1
ampersands,$$$ $ $,ASCII '$$$ $ $' does NOT represent 'ampersands',Semantic List,OBJECT,0
carefree joy,(｡◕‿◕｡),ASCII '(｡◕‿◕｡)' does NOT represent 'carefree joy',Metaphorical,EMOTION,0
backslash pattern,^^^ vvv,ASCII '^^^ vvv' does NOT represent 'backslash pattern',Semantic List,ACTION,0
backslash pattern,??? ? ?,ASCII '??? ? ?' does NOT represent 'backslash pattern',Semantic List,STATE,0
laughing sound,$$$$$$,ASCII '$$$$$$' does NOT represent 'laughing sound',Reduplication,OBJECT,0
slash pattern,// / //,ASCII '// / //' represents 'slash pattern',Semantic List,OBJECT,1
neutral observation,ᕙ(⇀‸↼‶)ᕗ,ASCII 'ᕙ(⇀‸↼‶)ᕗ' does NOT represent 'neutral observation',Metaphorical,ACTION,0
kissy hug,☜(ﾟヮﾟ☜),ASCII '☜(ﾟヮﾟ☜)' does NOT represent 'kissy hug',Metaphorical,ACTION,0
pure happiness,(ง ͠° ͟ل͜ ͡°)ง,ASCII '(ง ͠° ͟ل͜ ͡°)ง' does NOT represent 'pure happiness',Metaphorical,STATE,0
intense anger,¯\_(ツ)_/¯,ASCII '¯\_(ツ)_/¯' does NOT represent 'intense anger',Metaphorical,STATE,0
joyful celebration,╰(*°▽°*)╯,ASCII '╰(*°▽°*)╯' represents 'joyful celebration',Metaphorical,EMOTION,1
carefree joy,ヽ(´▽`)/,ASCII 'ヽ(´▽`)/' represents 'carefree joy',Metaphorical,EMOTION,1
disapproval stare,ಠ_ಠ,ASCII 'ಠ_ಠ' represents 'disapproval stare',Metaphorical,EMOTION,1
wide eyed,(◉_◉),ASCII '(◉_◉)' represents 'wide eyed',Metaphorical,STATE,1
group smiling,=) =) =),ASCII '=) =) =)' represents 'group smiling',Semantic List,EMOTION,1
cute smile,＼(^o^)／,ASCII '＼(^o^)／' does NOT represent 'cute smile',Metaphorical,EMOTION,0
determined spirit,(✿◠‿◠),ASCII '(✿◠‿◠)' does NOT represent 'determined spirit',Metaphorical,EMOTION,0
group smiling,|| | ||,ASCII '|| | ||' does NOT represent 'group smiling',Semantic List,OBJECT,0
android smile,ヾ(⌐■_■)ノ♪,ASCII 'ヾ(⌐■_■)ノ♪' does NOT represent 'android smile',Metaphorical,ACTION,0
ready to fight,(ㆆ_ㆆ),ASCII '(ㆆ_ㆆ)' does NOT represent 'ready to fight',Metaphorical,EMOTION,0
fading lines,* * *,ASCII '* * *' does NOT represent 'fading lines',Semantic List,OBJECT,0
group smiling,%%% % %,ASCII '%%% % %' does NOT represent 'group smiling',Semantic List,OBJECT,0
kissy hug,＼(^o^)／,ASCII '＼(^o^)／' does NOT represent 'kissy hug',Metaphorical,EMOTION,0
wide eyed,(◉_◉),ASCII '(◉_◉)' represents 'wide eyed',Metaphorical,STATE,1
heart shape,<3,ASCII '<3' represents 'heart shape',Direct,OBJECT,1
disapproval stare,ಠ_ಠ,ASCII 'ಠ_ಠ' represents 'disapproval stare',Metaphorical,EMOTION,1
intense anger,(╬ಠ益ಠ),ASCII '(╬ಠ益ಠ)' represents 'intense anger',Metaphorical,EMOTION,1
trailing off,... . . .,ASCII '... . . .' represents 'trailing off',Semantic List,STATE,1
total confusion,^^^^^^,ASCII '^^^^^^' does NOT represent 'total confusion',Reduplication,ACTION,0
love struck,(｡♥‿♥｡),ASCII '(｡♥‿♥｡)' represents 'love struck',Metaphorical,EMOTION,1
dancing happily,〜(￣▽￣〜),ASCII '〜(￣▽￣〜)' represents 'dancing happily',Metaphorical,ACTION,1
asterisk pattern,***,ASCII '***' represents 'asterisk pattern',Direct,OBJECT,1
intense anger,♪┏(・o･)┛♪,ASCII '♪┏(・o･)┛♪' does NOT represent 'intense anger',Metaphorical,ACTION,0
blowing kiss,ヽ(´▽`)/,ASCII 'ヽ(´▽`)/' does NOT represent 'blowing kiss',Metaphorical,EMOTION,0
back and forth,### # #,ASCII '### # #' does NOT represent 'back and forth',Semantic List,OBJECT,0
laughing sound,hahahahaha,ASCII 'hahahahaha' represents 'laughing sound',Reduplication,EMOTION,1
cool dancing,ヾ(⌐■_■)ノ♪,ASCII 'ヾ(⌐■_■)ノ♪' represents 'cool dancing',Metaphorical,ACTION,1
hash pattern,###,ASCII '###' represents 'hash pattern',Direct,OBJECT,1
happy eyes pattern,%%% % %,ASCII '%%% % %' does NOT represent 'happy eyes pattern',Semantic List,OBJECT,0
umbrella symbol,☂,ASCII '☂' represents 'umbrella symbol',Single,OBJECT,1
up and down,^^^ vvv,ASCII '^^^ vvv' represents 'up and down',Semantic List,ACTION,1
playful tongue,:P,ASCII ':P' represents 'playful tongue',Direct,EMOTION,1
many ats,@@@@@@,ASCII '@@@@@@' represents 'many ats',Reduplication,OBJECT,1
cute smile,(｡◕‿◕｡),ASCII '(｡◕‿◕｡)' represents 'cute smile',Metaphorical,EMOTION,1
back and forth,>>> <<<,ASCII '>>> <<<' represents 'back and forth',Semantic List,ACTION,1
suggestive look,( ͡° ͜ʖ ͡°),ASCII '( ͡° ͜ʖ ͡°)' represents 'suggestive look',Metaphorical,EMOTION,1
happy walking,(⌐■_■),ASCII '(⌐■_■)' does NOT represent 'happy walking',Metaphorical,QUALITY,0
group sadness,:( :( :(,ASCII ':( :( :(' represents 'group sadness',Semantic List,EMOTION,1
very upset,D:,ASCII 'D:' represents 'very upset',Direct,EMOTION,1
x marks,ooo o o,ASCII 'ooo o o' does NOT represent 'x marks',Semantic List,OBJECT,0
kissy hug,(づ￣ ³￣)づ,ASCII '(づ￣ ³￣)づ' represents 'kissy hug',Metaphorical,ACTION,1
concerned look,(ㆆ_ㆆ),ASCII '(ㆆ_ㆆ)' represents 'concerned look',Metaphorical,EMOTION,1
broken heart,OTL,ASCII 'OTL' does NOT represent 'broken heart',Direct,ACTION,0
growing confusion,??? ? ?,ASCII '??? ? ?' represents 'growing confusion',Semantic List,STATE,1
star struck,*_*,ASCII '*_*' represents 'star struck',Direct,EMOTION,1
crying pattern,TT T TT,ASCII 'TT T TT' represents 'crying pattern',Semantic List,EMOTION,1
raising hand,\o,ASCII '\o' represents 'raising hand',Direct,ACTION,1
intense anger,(¬‿¬),ASCII '(¬‿¬)' does NOT represent 'intense anger',Metaphorical,EMOTION,0
ready to fight,(ง •̀_•́)ง,ASCII '(ง •̀_•́)ง' represents 'ready to fight',Metaphorical,STATE,1
dancing happily,〜(￣▽￣〜),ASCII '〜(￣▽￣〜)' represents 'dancing happily',Metaphorical,ACTION,1
bowing down,orz,ASCII 'orz' represents 'bowing down',Direct,ACTION,1
android smile,(҂◡_◡),ASCII '(҂◡_◡)' represents 'android smile',Metaphorical,QUALITY,1
star struck,*_*,ASCII '*_*' represents 'star struck',Direct,EMOTION,1
long equals,======,ASCII '======' represents 'long equals',Reduplication,OBJECT,1
three stars,// / //,ASCII '// / //' does NOT represent 'three stars',Semantic List,OBJECT,0
arrow up,>:(,ASCII '>:(' does NOT represent 'arrow up',Direct,EMOTION,0
very upset,_o/,ASCII '_o/' does NOT represent 'very upset',Direct,ACTION,0
long pause,zzzzzz,ASCII 'zzzzzz' does NOT represent 'long pause',Reduplication,STATE,0
continuous laughing,######,ASCII '######' does NOT represent 'continuous laughing',Reduplication,OBJECT,0
carefree joy,ヽ(´▽`)/,ASCII 'ヽ(´▽`)/' represents 'carefree joy',Metaphorical,EMOTION,1
intense anger,╰(*°▽°*)╯,ASCII '╰(*°▽°*)╯' does NOT represent 'intense anger',Metaphorical,EMOTION,0
smiling,@_@,ASCII '@_@' does NOT represent 'smiling',Direct,EMOTION,0
dots pattern,...,ASCII '...' represents 'dots pattern',Direct,OBJECT,1
happy face,=),ASCII '=)' does NOT represent 'happy face',Direct,EMOTION,0
angry face,>:(,ASCII '>:(' represents 'angry face',Direct,EMOTION,1
waving hand,:D,ASCII ':D' does NOT represent 'waving hand',Direct,EMOTION,0
many ats,@@@@@@,ASCII '@@@@@@' represents 'many ats',Reduplication,OBJECT,1
gentle smile,( ˘ ³˘)♥,ASCII '( ˘ ³˘)♥' does NOT represent 'gentle smile',Metaphorical,ACTION,0
dancing to music,(つ ͡° ͜ʖ ͡°)つ,ASCII '(つ ͡° ͜ʖ ͡°)つ' does NOT represent 'dancing to music',Metaphorical,ACTION,0
shock and confusion,<- <-- <---,ASCII '<- <-- <---' does NOT represent 'shock and confusion',Semantic List,ACTION,0
neutral observation,(•_•),ASCII '(•_•)' represents 'neutral observation',Metaphorical,STATE,1
hot springs,♥,ASCII '♥' does NOT represent 'hot springs',Single,EMOTION,0
sly expression,(๑•̀ㅂ•́)و✧,ASCII '(๑•̀ㅂ•́)و✧' does NOT represent 'sly expression',Metaphorical,QUALITY,0
percent signs,^^ ^ ^^,ASCII '^^ ^ ^^' does NOT represent 'percent signs',Semantic List,EMOTION,0
star pattern,\\ \ \\,ASCII '\\ \ \\' does NOT represent 'star pattern',Semantic List,OBJECT,0
backslash pattern,~~ ~ ~~,ASCII '~~ ~ ~~' does NOT represent 'backslash pattern',Semantic List,OBJECT,0
ready to fight,(╯°□°）╯︵ ┻━┻,ASCII '(╯°□°）╯︵ ┻━┻' does NOT represent 'ready to fight',Metaphorical,EMOTION,0
concerned look,(ㆆ_ㆆ),ASCII '(ㆆ_ㆆ)' represents 'concerned look',Metaphorical,EMOTION,1
gentle grasp,ლ(╹◡╹ლ),ASCII 'ლ(╹◡╹ლ)' represents 'gentle grasp',Metaphorical,ACTION,1
neutral observation,ヾ(⌐■_■)ノ♪,ASCII 'ヾ(⌐■_■)ノ♪' does NOT represent 'neutral observation',Metaphorical,ACTION,0
arrow down,v,ASCII 'v' represents 'arrow down',Direct,OBJECT,1
snowman symbol,♠,ASCII '♠' does NOT represent 'snowman symbol',Single,OBJECT,0
growing confusion,??? ? ?,ASCII '??? ? ?' represents 'growing confusion',Semantic List,STATE,1
gentle grasp,ლ(╹◡╹ლ),ASCII 'ლ(╹◡╹ლ)' represents 'gentle grasp',Metaphorical,ACTION,1
both hands up,\o/,ASCII '\o/' represents 'both hands up',Direct,ACTION,1
backslash pattern,\\ \ \\,ASCII '\\ \ \\' represents 'backslash pattern',Semantic List,OBJECT,1
kissy hug,☜(ﾟヮﾟ☜),ASCII '☜(ﾟヮﾟ☜)' does NOT represent 'kissy hug',Metaphorical,ACTION,0
do not know,¯\_(ツ)_/¯,ASCII '¯\_(ツ)_/¯' represents 'do not know',Metaphorical,STATE,1
on the floor,:-|,ASCII ':-|' does NOT represent 'on the floor',Direct,EMOTION,0
many pluses,++++++,ASCII '++++++' represents 'many pluses',Reduplication,OBJECT,1
love struck,＼(^o^)／,ASCII '＼(^o^)／' does NOT represent 'love struck',Metaphorical,EMOTION,0
reverse arrows,XXX X X,ASCII 'XXX X X' does NOT represent 'reverse arrows',Semantic List,OBJECT,0
happy walking,♪~ ᕕ(ᐛ)ᕗ,ASCII '♪~ ᕕ(ᐛ)ᕗ' represents 'happy walking',Metaphorical,ACTION,1
joyful celebration,╰(*°▽°*)╯,ASCII '╰(*°▽°*)╯' represents 'joyful celebration',Metaphorical,EMOTION,1
many ups,^^^^^^,ASCII '^^^^^^' represents 'many ups',Reduplication,ACTION,1
wave pattern,~~ ~ ~~,ASCII '~~ ~ ~~' represents 'wave pattern',Semantic List,OBJECT,1
many stars,~~~~~~,ASCII '~~~~~~' does NOT represent 'many stars',Reduplication,OBJECT,0
many downs,hahahahaha,ASCII 'hahahahaha' does NOT represent 'many downs',Reduplication,EMOTION,0
putting on glasses,♪~ ᕕ(ᐛ)ᕗ,ASCII '♪~ ᕕ(ᐛ)ᕗ' does NOT represent 'putting on glasses',Metaphorical,ACTION,0
star pattern,TT T TT,ASCII 'TT T TT' does NOT represent 'star pattern',Semantic List,EMOTION,0
ready to fight,(ง •̀_•́)ง,ASCII '(ง •̀_•́)ง' represents 'ready to fight',Metaphorical,STATE,1
curly brackets,T_T,ASCII 'T_T' does NOT represent 'curly brackets',Direct,EMOTION,0
crying sadly,( ˘ ³˘)♥,ASCII '( ˘ ³˘)♥' does NOT represent 'crying sadly',Metaphorical,ACTION,0
crying face,/o\,ASCII '/o\' does NOT represent 'crying face',Direct,ACTION,0
vertical lines,\o_,ASCII '\o_' does NOT represent 'vertical lines',Direct,ACTION,0
love struck,╰(*°▽°*)╯,ASCII '╰(*°▽°*)╯' does NOT represent 'love struck',Metaphorical,EMOTION,0
ready to fight,( •_•)>⌐■-■,ASCII '( •_•)>⌐■-■' does NOT represent 'ready to fight',Metaphorical,ACTION,0
adding more,*** ** *,ASCII '*** ** *' does NOT represent 'adding more',Semantic List,OBJECT,0
total confusion,?????,ASCII '?????' represents 'total confusion',Reduplication,STATE,1
big grin,<--,ASCII '<--' does NOT represent 'big grin',Direct,OBJECT,0
sly expression,(ง ͠° ͟ل͜ ͡°)ง,ASCII '(ง ͠° ͟ل͜ ͡°)ง' does NOT represent 'sly expression',Metaphorical,STATE,0
wide eyed,(◉_◉),ASCII '(◉_◉)' represents 'wide eyed',Metaphorical,STATE,1
adding more,TT T TT,ASCII 'TT T TT' does NOT represent 'adding more',Semantic List,EMOTION,0
dancing happily,〜(￣▽￣〜),ASCII '〜(￣▽￣〜)' represents 'dancing happily',Metaphorical,ACTION,1
total confusion,&&&&&&,ASCII '&&&&&&' does NOT represent 'total confusion',Reduplication,OBJECT,0
love symbol,✗,ASCII '✗' does NOT represent 'love symbol',Single,QUALITY,0
kissy hug,(づ￣ ³￣)づ,ASCII '(づ￣ ³￣)づ' represents 'kissy hug',Metaphorical,ACTION,1
cute smile,〜(￣▽￣〜),ASCII '〜(￣▽￣〜)' does NOT represent 'cute smile',Metaphorical,ACTION,0
curly brackets,<3,ASCII '<3' does NOT represent 'curly brackets',Direct,OBJECT,0
energetic dance,ಠ_ಠ,ASCII 'ಠ_ಠ' does NOT represent 'energetic dance',Metaphorical,EMOTION,0
crying pattern,TT T TT,ASCII 'TT T TT' represents 'crying pattern',Semantic List,EMOTION,1
broken heart,_/\_,ASCII '_/\_' does NOT represent 'broken heart',Direct,ACTION,0
arrow up,^,ASCII '^' represents 'arrow up',Direct,OBJECT,1
at symbols,!!! ???,ASCII '!!! ???' does NOT represent 'at symbols',Semantic List,STATE,0
cool dancing,ヾ(⌐■_■)ノ♪,ASCII 'ヾ(⌐■_■)ノ♪' represents 'cool dancing',Metaphorical,ACTION,1
putting on glasses,(つ ͡° ͜ʖ ͡°)つ,ASCII '(つ ͡° ͜ʖ ͡°)つ' does NOT represent 'putting on glasses',Metaphorical,ACTION,0
multiple hearts,<3 <3 <3,ASCII '<3 <3 <3' represents 'multiple hearts',Semantic List,EMOTION,1
cool dancing,(ಥ﹏ಥ),ASCII '(ಥ﹏ಥ)' does NOT represent 'cool dancing',Metaphorical,EMOTION,0
putting on glasses,( •_•)>⌐■-■,ASCII '( •_•)>⌐■-■' represents 'putting on glasses',Metaphorical,ACTION,1
snowman symbol,☺,ASCII '☺' does NOT represent 'snowman symbol',Single,EMOTION,0
offering hug,(っ◔◡◔)っ,ASCII '(っ◔◡◔)っ' represents 'offering hug',Metaphorical,ACTION,1
dancing happily,〜(￣▽￣〜),ASCII '〜(￣▽￣〜)' represents 'dancing happily',Metaphorical,ACTION,1
many percents,!!!!!,ASCII '!!!!!' does NOT represent 'many percents',Reduplication,EMOTION,0
weird fighter,(ง ͠° ͟ل͜ ͡°)ง,ASCII '(ง ͠° ͟ل͜ ͡°)ง' represents 'weird fighter',Metaphorical,STATE,1
suggestive look,( ͡° ͜ʖ ͡°),ASCII '( ͡° ͜ʖ ͡°)' represents 'suggestive look',Metaphorical,EMOTION,1
cloud symbol,☁,ASCII '☁' represents 'cloud symbol',Single,OBJECT,1
at symbols,@@@ @ @,ASCII '@@@ @ @' represents 'at symbols',Semantic List,OBJECT,1
weird fighter,(⌐■_■),ASCII '(⌐■_■)' does NOT represent 'weird fighter',Metaphorical,QUALITY,0
disapproval stare,ლ(╹◡╹ლ),ASCII 'ლ(╹◡╹ლ)' does NOT represent 'disapproval stare',Metaphorical,ACTION,0
gentle grasp,ლ(╹◡╹ლ),ASCII 'ლ(╹◡╹ლ)' represents 'gentle grasp',Metaphorical,ACTION,1
neutral expression,</3,ASCII '</3' does NOT represent 'neutral expression',Direct,OBJECT,0
finger guns,(☞ﾟヮﾟ)☞,ASCII '(☞ﾟヮﾟ)☞' represents 'finger guns',Metaphorical,ACTION,1
many ups,^^^^^^,ASCII '^^^^^^' represents 'many ups',Reduplication,ACTION,1
weird fighter,(ง ͠° ͟ل͜ ͡°)ง,ASCII '(ง ͠° ͟ل͜ ͡°)ง' represents 'weird fighter',Metaphorical,STATE,1
hashtag emphasis,:( :( :(,ASCII ':( :( :(' does NOT represent 'hashtag emphasis',Semantic List,EMOTION,0
dancing to music,( ˘ ³˘)♥,ASCII '( ˘ ³˘)♥' does NOT represent 'dancing to music',Metaphorical,ACTION,0
angry face,>:(,ASCII '>:(' represents 'angry face',Direct,EMOTION,1
flower girl,(◕‿◕✿),ASCII '(◕‿◕✿)' represents 'flower girl',Metaphorical,QUALITY,1
energetic dance,( •_•)>⌐■-■,ASCII '( •_•)>⌐■-■' does NOT represent 'energetic dance',Metaphorical,ACTION,0
weird fighter,(ง ͠° ͟ل͜ ͡°)ง,ASCII '(ง ͠° ͟ل͜ ͡°)ง' represents 'weird fighter',Metaphorical,STATE,1
many percents,%%%%%%,ASCII '%%%%%%' represents 'many percents',Reduplication,OBJECT,1
pointing back,(╬ಠ益ಠ),ASCII '(╬ಠ益ಠ)' does NOT represent 'pointing back',Metaphorical,EMOTION,0
winking,;),ASCII ';)' represents 'winking',Direct,EMOTION,1
long equals,======,ASCII '======' represents 'long equals',Reduplication,OBJECT,1
hands on head,/o\,ASCII '/o\' represents 'hands on head',Direct,ACTION,1
pure happiness,(☞ﾟヮﾟ)☞,ASCII '(☞ﾟヮﾟ)☞' does NOT represent 'pure happiness',Metaphorical,ACTION,0
many ats,@@@@@@,ASCII '@@@@@@' represents 'many ats',Reduplication,OBJECT,1
bracket types,[ ] { } ( ),ASCII '[ ] { } ( )' represents 'bracket types',Semantic List,OBJECT,1
creepy reach,ヽ(´▽`)/,ASCII 'ヽ(´▽`)/' does NOT represent 'creepy reach',Metaphorical,EMOTION,0
pointing back,＼(^o^)／,ASCII '＼(^o^)／' does NOT represent 'pointing back',Metaphorical,EMOTION,0
gentle grasp,(~˘▾˘)~,ASCII '(~˘▾˘)~' does NOT represent 'gentle grasp',Metaphorical,ACTION,0
angry face,>:(,ASCII '>:(' represents 'angry face',Direct,EMOTION,1
smiling,:-O,ASCII ':-O' does NOT represent 'smiling',Direct,EMOTION,0
circle pattern,ooo o o,ASCII 'ooo o o' represents 'circle pattern',Semantic List,OBJECT,1
confused look,o_O,ASCII 'o_O' represents 'confused look',Direct,EMOTION,1
arrow right,-->,ASCII '-->' represents 'arrow right',Direct,OBJECT,1
diamond shape,<>,ASCII '<>' represents 'diamond shape',Direct,OBJECT,1
pointing back,☜(ﾟヮﾟ☜),ASCII '☜(ﾟヮﾟ☜)' represents 'pointing back',Metaphorical,ACTION,1
raising hand,D:,ASCII 'D:' does NOT represent 'raising hand',Direct,EMOTION,0
love symbol,♨,ASCII '♨' does NOT represent 'love symbol',Single,OBJECT,0
heavy emphasis,$$$$$$,ASCII '$$$$$$' does NOT represent 'heavy emphasis',Reduplication,OBJECT,0
star symbol,<>,ASCII '<>' does NOT represent 'star symbol',Direct,OBJECT,0
circle pattern,[ ] { } ( ),ASCII '[ ] { } ( )' does NOT represent 'circle pattern',Semantic List,OBJECT,0
gentle grasp,ლ(╹◡╹ლ),ASCII 'ლ(╹◡╹ლ)' represents 'gentle grasp',Metaphorical,ACTION,1
at symbols,@@@ @ @,ASCII '@@@ @ @' represents 'at symbols',Semantic List,OBJECT,1
hash pattern,###,ASCII '###' represents 'hash pattern',Direct,OBJECT,1
crying face,T_T,ASCII 'T_T' represents 'crying face',Direct,EMOTION,1
wave pattern,<3,ASCII '<3' does NOT represent 'wave pattern',Direct,OBJECT,0
group sadness,:( :( :(,ASCII ':( :( :(' represents 'group sadness',Semantic List,EMOTION,1
backslash pattern,@@@ @ @,ASCII '@@@ @ @' does NOT represent 'backslash pattern',Semantic List,OBJECT,0
joyful celebration,╰(*°▽°*)╯,ASCII '╰(*°▽°*)╯' represents 'joyful celebration',Metaphorical,EMOTION,1
raising hand,:-O,ASCII ':-O' does NOT represent 'raising hand',Direct,EMOTION,0
putting on glasses,ヾ(⌐■_■)ノ♪,ASCII 'ヾ(⌐■_■)ノ♪' does NOT represent 'putting on glasses',Metaphorical,ACTION,0
suggestive look,( ͡° ͜ʖ ͡°),ASCII '( ͡° ͜ʖ ͡°)' represents 'suggestive look',Metaphorical,EMOTION,1
flower girl,(◕‿◕✿),ASCII '(◕‿◕✿)' represents 'flower girl',Metaphorical,QUALITY,1
laughing hard,###,ASCII '###' does NOT represent 'laughing hard',Direct,OBJECT,0
gentle smile,〜(￣▽￣〜),ASCII '〜(￣▽￣〜)' does NOT represent 'gentle smile',Metaphorical,ACTION,0
extreme laughter,~~~~~~,ASCII '~~~~~~' does NOT represent 'extreme laughter',Reduplication,OBJECT,0
increasing excitement,!!! ! !,ASCII '!!! ! !' represents 'increasing excitement',Semantic List,EMOTION,1
cross mark,✗,ASCII '✗' represents 'cross mark',Single,QUALITY,1
gentle grasp,¯\_(ツ)_/¯,ASCII '¯\_(ツ)_/¯' does NOT represent 'gentle grasp',Metaphorical,STATE,0
wide eyed,(◉_◉),ASCII '(◉_◉)' represents 'wide eyed',Metaphorical,STATE,1
very happy,:D,ASCII ':D' represents 'very happy',Direct,EMOTION,1
sly expression,(¬‿¬),ASCII '(¬‿¬)' represents 'sly expression',Metaphorical,EMOTION,1
blowing kiss,( ˘ ³˘)♥,ASCII '( ˘ ³˘)♥' represents 'blowing kiss',Metaphorical,ACTION,1
long line,%%%%%%,ASCII '%%%%%%' does NOT represent 'long line',Reduplication,OBJECT,0
suggestive look,( ͡° ͜ʖ ͡°),ASCII '( ͡° ͜ʖ ͡°)' represents 'suggestive look',Metaphorical,EMOTION,1
reverse arrows,|| | ||,ASCII '|| | ||' does NOT represent 'reverse arrows',Semantic List,OBJECT,0
flexing muscles,(╬ಠ益ಠ),ASCII '(╬ಠ益ಠ)' does NOT represent 'flexing muscles',Metaphorical,EMOTION,0
spade suit,✉,ASCII '✉' does NOT represent 'spade suit',Single,OBJECT,0
carefree joy,(☞ﾟヮﾟ)☞,ASCII '(☞ﾟヮﾟ)☞' does NOT represent 'carefree joy',Metaphorical,ACTION,0
concerned look,ლ(╹◡╹ლ),ASCII 'ლ(╹◡╹ლ)' does NOT represent 'concerned look',Metaphorical,ACTION,0
hashtag emphasis,~~ ~ ~~,ASCII '~~ ~ ~~' does NOT represent 'hashtag emphasis',Semantic List,OBJECT,0
long equals,======,ASCII '======' represents 'long equals',Reduplication,OBJECT,1
laughing hard,^_^,ASCII '^_^' does NOT represent 'laughing hard',Direct,EMOTION,0
star symbol,:D,ASCII ':D' does NOT represent 'star symbol',Direct,EMOTION,0
yin yang,☯,ASCII '☯' represents 'yin yang',Single,OBJECT,1
person waving,:-(,ASCII ':-(' does NOT represent 'person waving',Direct,EMOTION,0
crying face,*,ASCII '*' does NOT represent 'crying face',Direct,OBJECT,0
both hands up,\o/,ASCII '\o/' represents 'both hands up',Direct,ACTION,1
person waving,_o/,ASCII '_o/' represents 'person waving',Direct,ACTION,1
hashtag emphasis,~~ ~ ~~,ASCII '~~ ~ ~~' does NOT represent 'hashtag emphasis',Semantic List,OBJECT,0
pure happiness,┬─┬ノ( º _ ºノ),ASCII '┬─┬ノ( º _ ºノ)' does NOT represent 'pure happiness',Metaphorical,ACTION,0
praying hands,:-O,ASCII ':-O' does NOT represent 'praying hands',Direct,EMOTION,0
joyful celebration,╰(*°▽°*)╯,ASCII '╰(*°▽°*)╯' represents 'joyful celebration',Metaphorical,EMOTION,1
wave pattern,~~~,ASCII '~~~' represents 'wave pattern',Direct,OBJECT,1
gentle grasp,(~˘▾˘)~,ASCII '(~˘▾˘)~' does NOT represent 'gentle grasp',Metaphorical,ACTION,0
flexing muscles,ᕙ(⇀‸↼‶)ᕗ,ASCII 'ᕙ(⇀‸↼‶)ᕗ' represents 'flexing muscles',Metaphorical,ACTION,1
happy eyes,^_^,ASCII '^_^' represents 'happy eyes',Direct,EMOTION,1
very upset,=),ASCII '=)' does NOT represent 'very upset',Direct,EMOTION,0
